wavelength_nm,frequency_thz,theta_air_raw_deg,theta_prism_deg,observed_r0_reflectance_fraction,package_static_prediction_fraction,residual_prediction_minus_observed,absolute_residual,power_norm_std,prepump_rows,delay_min_ps,delay_max_ps,in_figure2_plotted_window
1210,247.762361983,48,46.9994920955,0.0411136691955,0.0429680662611,0.00185439706563,0.00185439706563,0.00094876689297,11,-0.6,-0.4,true
1210,247.762361983,49,47.6654623598,0.0524011750372,0.0572898447401,0.00488866970291,0.00488866970291,0.00141142879719,11,-0.6,-0.4,true
1210,247.762361983,50,48.3309802045,0.0638407490589,0.0722557765718,0.00841502751295,0.00841502751295,0.00103075811629,11,-0.6,-0.4,true
1210,247.762361983,51,48.9959317502,0.0755052815762,0.0876137897805,0.0121085082043,0.0121085082043,0.00111728544601,11,-0.6,-0.4,true
1210,247.762361983,52,49.6602026014,0.0881282593572,0.103198402703,0.0150701433458,0.0150701433458,0.000774387285218,11,-0.6,-0.4,true
1210,247.762361983,53,50.3236777414,0.0992531615057,0.118896031621,0.0196428701152,0.0196428701152,0.000952475550369,11,-0.6,-0.4,true
1210,247.762361983,54,50.9862414289,0.109285170119,0.134626513153,0.0253413430332,0.0253413430332,0.000743015778693,11,-0.6,-0.4,false
1210,247.762361983,55,51.6477770928,0.120585022172,0.150332310408,0.0297472882356,0.0297472882356,0.00140781021199,11,-0.6,-0.4,false
1210,247.762361983,56,52.3081672277,0.130217792111,0.165971767632,0.0357539755206,0.0357539755206,0.00103718748967,11,-0.6,-0.4,false
1210,247.762361983,57,52.9672932881,0.14160445802,0.181514675071,0.0399102170511,0.0399102170511,0.00191769024195,11,-0.6,-0.4,false
1210,247.762361983,58,53.6250355825,0.150754031539,0.196939236324,0.0461852047854,0.0461852047854,0.00115884152925,11,-0.6,-0.4,false
1210,247.762361983,59,54.2812731675,0.157169666229,0.21222992994,0.0550602637111,0.0550602637111,0.00185592289823,11,-0.6,-0.4,false
1210,247.762361983,60,54.9358837405,0.159965529751,0.22737596419,0.067410434439,0.067410434439,0.00128094146725,11,-0.6,-0.4,false
